Title,Authors
Fintech and payments regulation: An analytical framework,"Khiaonarong T., Goh T."
Prototyping Micropayment Mobile Platform using QR Codes,"Haxhimehmeti H., Besimi A."
The dematerialisation of monetary signs. Considerations from a Civil Law perspective,"Campagna, MF"
Towards the 2 degrees C goal: Achieving Sustainable Development Goal (SDG) 7 in DPR Korea,"O, NC; Kim, H"
THE CHARACTERISTICS OF THE STRATEGIC APPROACHES ADOPTED BY THE BRAZILIAN FINTECHS TO COMPETE IN THE ELECTRONIC PAYMENT INDUSTRY,"Dall'agnol, AP; Verschoore, JR"
Fundraising Campaigns in a Digital Economy: Lessons from a Swiss Synthetic Diamond Venture's Initial Coin Offering (ICO),"Rrustemi, J; Tuchschmid, NS"
Big Data and Big Money: The Role of Data in the Financial Sector,Trelewicz J.Q.
Financial Technologies and Applications,"Lee M.R., Yen D.C., Hurlburt G.F."
M-Pesa and the ‘Market-Led’ Approach to Financial Inclusion,Burns S.
Test-driving fintech product development: An experience report,"Sundelin A., Gonzalez-Huerta J., Wnuk K."
Consumer access to capital in the age of FinTech and big data: The limits of EU law,Ferretti F.
Is open banking driving the financial industry towards a true electronic market?,Dratva R.
M-PESA AND THE 'MARKET-LED' APPROACH TO FINANCIAL INCLUSION,"Burns, S"
Public opinions impacts on cryptocurrency valuation: A view from behavioral finance perspective,Gusev A.A.
